timestamp,BTC_price,ETH_price,ADA_price
2024-12-04,96031.63097759831,3625.7104579497204,1.201004029612371
2024-12-05,98881.4694561823,3839.443460715871,1.1842450413974923
2024-12-06,97201.50036407741,3796.8688671601276,1.166279100460039
2024-12-07,99973.85150659826,4013.726145388712,1.2330018039218942
2024-12-08,99781.82999198174,4000.992076502189,1.2144434934843331
2024-12-09,101235.3717025316,4015.7820212328807,1.197963535910322
2024-12-10,97353.94700820887,3713.3138979971745,1.0077086490874125
2024-12-11,96649.71446771531,3626.5886417774996,1.0166147999655448
2024-12-12,101123.61811033697,3828.1075883404096,1.08793220795952
2024-12-13,100000.80836535197,3878.850012073054,1.123131450089082
2024-12-14,101352.22971292294,3907.4296595053356,1.1167297609853515
2024-12-15,101367.01064553364,3866.9958020348054,1.0601034433845538
2024-12-16,104721.50151808978,3961.3154661802305,1.1059376495294093
2024-12-17,106074.10723541168,3992.857195846062,1.0805022755134979
2024-12-18,106034.913402645,3879.4062240100893,1.049451939411299
2024-12-19,100355.5761481501,3628.2624780444953,0.9689917114818106
2024-12-20,97851.35377075805,3434.6754695380805,0.8856294008673282
2024-12-21,97691.43431692653,3468.658920056454,0.95061505400963
2024-12-22,97202.82496847633,3337.5972231166807,0.9046599113089583
2024-12-23,95094.27394862173,3275.8894274015142,0.8827956119261179
2024-12-24,94644.91085464321,3414.6414419807993,0.9228752612988013
2024-12-25,98695.71400782601,3497.555287927574,0.9368563828179975
2024-12-26,99344.95417367229,3494.5109273631047,0.9167515411841919
2024-12-27,95678.31244565405,3327.7897761683494,0.8593419351414681
2024-12-28,94331.94727053077,3328.6111553091764,0.8741699171287979
2024-12-29,95184.61945288602,3397.8341205085153,0.8875851081613702
2024-12-30,93663.44751964067,3357.330742971463,0.8591433475186276
2024-12-31,92627.28213113277,3359.513941757392,0.8591305888515354
2025-01-01,93507.85874741491,3336.6175137659498,0.8442610184323533
2025-01-02,94384.1761153871,3348.967247123586,0.9147583319262166
2025-01-03,96852.14681235075,3448.140436960939,0.9618480973351441
2025-01-04,98084.34279280754,3604.2913795931763,1.0904865469624805
2025-01-05,98256.73876849933,3660.37804173532,1.0719205077612817
2025-01-06,98364.58946599838,3635.8549961807084,1.0939767111827936
2025-01-07,102229.39453189743,3687.1447140588307,1.0941475413501178
2025-01-08,96952.09886774956,3380.0211263090155,0.9933347400068778
2025-01-09,95016.71440989176,3325.1300293537356,0.9478995284282535
2025-01-10,92376.27578346101,3219.09284475812,0.9060582113414768
2025-01-11,94736.6267420969,3269.1759954060667,0.9316713148155308
2025-01-12,94559.55167224213,3283.591322828503,0.996136878939902
2025-01-13,94454.77089638807,3264.070968533687,0.969186964876666
2025-01-14,94456.3493746993,3134.5520394596483,0.9450610027794694
2025-01-15,96574.07768799194,3224.8006483414138,0.9944214498919838
2025-01-16,100313.15239828422,3447.0340476747956,1.084480992215901
2025-01-17,100044.57926776377,3309.4466139900196,1.0906700675315832
2025-01-18,104160.69358484233,3477.284285084809,1.1369537229272808
2025-01-19,104334.61575724394,3309.0995676199964,1.1009310555353091
2025-01-20,101275.33714814208,3208.1365439891497,0.9917829386728937
2025-01-21,101764.90860170545,3263.069869880814,1.0068201561876229
2025-01-22,106182.2368201815,3326.0285404709143,1.0046310219001418
2025-01-23,103673.53509537787,3237.2996671291435,0.9802503420918104
2025-01-24,104067.60991206947,3332.580893146162,0.9880340956541441
2025-01-25,104835.19253555956,3311.8499838687,0.9715690918885032
2025-01-26,104796.04077738234,3320.1314101789453,0.9775990304899743
2025-01-27,102552.24874280207,3232.2767744705584,0.9541780430020652
2025-01-28,101958.46953745594,3173.5346079397173,0.9331646231189152
2025-01-29,101313.11264498268,3076.4937692857234,0.9162358892529787
2025-01-30,103718.97939813645,3114.4358854363104,0.9416326058959792
2025-01-31,104781.5135100103,3248.249484352305,0.9609684445044405
2025-02-01,102382.39409722165,3296.390634843652,0.9425307818897108
2025-02-02,100674.78762544956,3125.0386801320924,0.8982630053120425
2025-02-03,97568.31653024875,2862.6976188716285,0.7981056815290045
2025-02-04,101466.8606657039,2877.8138239498767,0.8095252800415622
2025-02-05,98118.43921664466,2740.3809762760143,0.7469703594022901
2025-02-06,96582.88682919052,2790.5521609256075,0.7332663432877611
2025-02-07,96635.41875332211,2686.662316793651,0.7039815460494513
2025-02-08,96558.4563096667,2623.4507017824767,0.7068603366492864
2025-02-09,96558.23762501091,2635.6011418023404,0.7021784786978031
2025-02-10,96548.57865379585,2632.5358220552475,0.6829085131547858
2025-02-11,97399.98161383197,2660.2967996436387,0.7092884772777551
2025-02-12,95739.97737079239,2603.0333698049267,0.7798744439436354
2025-02-13,97836.18856127483,2736.2703136032396,0.7979754265851546
2025-02-14,96561.6639990985,2675.7090007037627,0.8102560488773543
2025-02-15,97488.48148536457,2724.6698335873957,0.800915838420313
2025-02-16,97569.95169430465,2692.8213863864253,0.7814783063035197
2025-02-17,96149.3484548204,2659.9017474093457,0.7713503011207024
2025-02-18,95776.15723852723,2741.9050800956124,0.8072872842141813
2025-02-19,95495.89153299287,2669.4945006896073,0.7534573390949694
2025-02-20,96554.87156259285,2714.8018364720533,0.7720538356854337
2025-02-21,98384.31738240314,2741.5933625994785,0.8048194414479836
2025-02-22,96135.15541305285,2658.3470942919384,0.7616380207672204
2025-02-23,96564.15414290235,2764.355233404291,0.7742502077307336
2025-02-24,96327.46309127835,2827.1844084879804,0.7709438007684473
2025-02-25,91396.76686930266,2503.103420098605,0.6799958032161385
2025-02-26,88755.7693356979,2495.315451693047,0.6826325380000318
